,3M Company,Alcoa Incorporated,American Express Company,AT&T Incorporated,Bank of America Corporation,Boeing Corporation,Caterpillar Incorporated,Chevron Corporation,"Cisco Systems, Inc",Coca-Cola Company,DuPont,Exxon Mobil Corporation,General Electric Company,Home Depot Incorporated,Microsoft Corporation,Intel Corporation,International Business Machines,J.P. Morgan Chase & Company,Johnson & Johnson,McDonald’s Corporation,Merck & Company,Pfizer Incorporated,Procter & Gamble Company,"The Travelers Companies, Inc",United Technologies,Verizon Company,Wal-Mart Stores Incorporated,Walt Disney Company
2011-03-23,92.139999,40.73085,45.02,28.139999,13.65,72.720001,106.760002,105.480003,17.58,32.134998,52.234001,82.599998,150.230774,36.619999,25.540001,20.290001,159.529999,45.599998,58.720001,74.529999,31.135496,18.899431,60.91,58.43,51.516678,36.98,51.639999,42.240002
2011-03-24,92.580002,41.11533,45.59,28.540001,13.48,72.760002,108.370003,105.379997,17.360001,32.345001,52.319397,82.730003,152.153839,37.360001,25.809999,20.379999,160.039993,45.73,59.029999,74.93,31.221375,19.259962,61.139999,58.830002,52.083073,37.18,52.59,42.860001
2011-03-25,92.269997,41.067268,45.59,28.85,13.34,73.339996,109.089996,106.779999,17.280001,32.610001,52.87447,83.620003,151.92308,37.419998,25.620001,20.370001,162.179993,45.860001,58.98,75.25,31.078243,19.3074,60.880001,58.98,52.561359,37.290001,52.349998,42.970001
2011-03-28,92.120003,41.427719,45.720001,29.360001,13.37,73.300003,109.400002,106.040001,17.190001,32.514999,52.717911,83.470001,151.92308,36.650002,25.41,20.34,161.369995,45.959999,59.240002,75,30.963739,19.231499,60.66,58.91,52.529892,37.75,52.189999,42.52
2011-03-29,92.839996,42.028469,45.650002,30.049999,13.35,73.620003,110.540001,107.370003,17.440001,32.860001,53.002563,83.25,152.769226,37.700001,25.49,20.280001,162.880005,46.02,59.220001,75.370003,31.278625,19.335863,61.279999,59.259998,52.938953,38.290001,52.259998,42.939999
2011-03-30,92.470001,42.38892,45.91,30.709999,13.45,73.800003,111.529999,108.010002,17.33,33.02,53.045265,84.489998,154.692307,37.57,25.610001,20.459999,163.600006,46.450001,59.380001,75.809998,31.774809,19.297913,61.970001,59.389999,53.008183,38.459999,52.360001,43.349998
2011-03-31,93.5,42.436981,45.200001,30.610001,13.33,73.93,111.349998,107.489998,17.15,33.169998,53.728432,84.129997,154.230774,37.060001,25.389999,20.18,163.070007,46.099998,59.25,76.089996,31.498093,19.269449,61.599998,59.48,53.272499,38.540001,52.049999,43.09
2011-04-01,93.129997,41.980412,45.360001,30.620001,13.37,74.010002,113.120003,108.32,17.040001,33.610001,53.956158,84.68,156.461533,37.560001,25.48,19.719999,164.270004,46.349998,59.490002,75.989998,31.555344,19.335863,62.080002,59.709999,53.694145,38.470001,52.130001,42.849998
2011-04-04,93.639999,42.196678,45.419998,30.77,13.44,73.949997,113.379997,108.230003,17.059999,33.830002,54.297741,84.870003,157.92308,37.470001,25.549999,19.49,164.25,46.34,60.150002,76.389999,31.746183,19.487665,62.259998,59.630001,53.637508,38.610001,52.650002,42.630001
2011-04-05,93.389999,43.374149,45.419998,30.700001,13.47,73.230003,112.309998,109.330002,17.219999,33.735001,55.023609,85.419998,156.384613,37.599998,25.780001,19.709999,163.990005,46.580002,59.799999,76.599998,31.64122,19.402277,61.669998,59.130001,53.744492,38.380001,52.740002,42.43
2011-04-06,93.82,43.566391,46.279999,30.469999,13.72,73.720001,111,108.660004,18.07,33.814999,54.781654,85.18,158.07692,37.5,26.15,19.950001,164.039993,47.639999,59.66,76.720001,31.822519,19.250475,61.759998,59.939999,53.908119,37.849998,52.98,42.27
2011-04-07,93.190002,43.542358,46.16,30.540001,13.61,74.290001,109.849998,108.940002,17.91,33.720001,54.553928,85.760002,156.538467,37.830002,26.200001,20.030001,164.380005,47.400002,59.48,76.010002,31.803434,19.288425,62.130001,59.790001,53.719318,37.759998,53,42.040001
2011-04-08,93.220001,43.06176,46.279999,30.709999,13.48,73.470001,109.82,109.660004,17.65,33.634998,54.824352,85.949997,155.307693,37.459999,26.07,20.02,164.050003,46.84,59.459999,76.040001,32.127865,19.411764,61.900002,59.580002,53.373192,37.720001,52.540001,41.759998
2011-04-11,93.800003,42.701309,46.380001,30.66,13.49,73.760002,109.07,107.779999,17.469999,33.700001,53.742664,85.160004,155.230774,37.599998,25.98,20.120001,163.949997,46.860001,59.860001,76.25,32.051525,19.611006,62.189999,60.419998,53.480175,37.849998,52.82,41.889999
2011-04-12,92.370003,40.1301,46.02,30.469999,13.47,73.080002,106.57,104.18,17.440001,33.450001,52.60405,83.18,153.92308,37.759998,25.639999,19.76,163.25,46.639999,59.939999,76.660004,32.0229,19.411764,62.889999,59.689999,52.850849,37.639999,53.52,41.630001
