,HINDALCO,HEROHONDA,M&M,MARUTI,TATAMOTORS,AXISBANK,HDFCBANK,ICICIBANK,PNB,SBIN,ACC,AMBUJACEM,GRASIM,ITC,HCLTECH,INFOSYSTCH,TCS,WIPRO,DLF,UNITECH,HINDUNILVR,JPASSOCIAT,ABB,BHEL,SIEMENS,SUZLON,LT,RELCAPITAL,HDFC,IDFC,GAIL,STER,ONGC,CIPLA,SUNPHARMA,NTPC,POWERGRID,RELINFRA,RPOWER,TATAPOWER,BPCL,RELIANCE,JINDALSTEL,SAIL,TATASTEEL,BHARTIARTL,IDEA,RCOM
2011-02-21,212.699997,1438.849976,325.5,1207.349976,229.884262,261.390015,220.169998,188.663635,215.690002,279.184998,1001.950012,126.150002,360.444519,105.466667,116.275002,395.65625,569.299988,169.143799,231.899994,35.25,280.299988,87.75,663.099976,281.733337,844.75,47.400002,734.377747,396.776062,648.099976,70.025482,126.253189,51.650002,184.03334,306.200012,215.199997,147.208328,74.212517,621.450012,114.449997,120.627144,98.25,473.684937,689.549988,160.199997,607.32196,303.641602,37.92675,93.599998
2011-02-22,212.199997,1390.550049,319.875,1181.099976,224.957108,252.929993,213.845001,186.745453,213.869995,272.730011,1007.849976,123.849998,360.173401,104.466667,115,392.731262,569.375,166.800034,227.5,35,280.299988,85.650002,663.650024,277.013336,841.799988,45.75,713.711121,400.014709,641.099976,67.974525,124.368813,49.900002,181.300003,305.200012,208.225006,146.541672,73.837517,621.599976,114,119.382271,95.041664,487.801147,672.799988,156.350006,594.841125,303.457947,36.087696,95.050003
2011-02-23,212.399994,1472.300049,320.299988,1192.5,226.352142,251,211.410004,182.927277,211.699997,261.765015,1014.099976,124.550003,352.427582,103.73333,114.912498,384.850006,562.775024,163.800034,219.850006,35.200001,280.100006,83.75,695.150024,271.84668,844,45.200001,711.533325,411.875092,647,65.899155,124.720375,49.700001,181.03334,303.149994,208.100006,144.083328,74.70002,696.900024,114.25,116.260445,93.791664,493.150421,670.299988,155.199997,597.365845,301.34613,35.967102,96.449997
2011-02-24,205.300003,1494.75,308,1174.550049,208.642105,238.070007,205.910004,172.972733,207.570007,252.865005,998.849976,123.449997,347.454773,100.433334,110.224998,376.100006,555.900024,160.18129,213.199997,34.200001,280.100006,78.5,669.900024,266.420013,841.900024,45.400002,673.955566,390.036224,616.799988,64.14119,123.117249,46.799999,176.633331,298.700012,203.425003,142.458328,73.687515,665.849976,110.800003,114.948021,89.941666,477.57309,631.400024,153.899994,574.166748,297.857056,35.092796,92.349998
2011-02-25,200.050003,1500.550049,297.600006,1168.650024,219.782608,246.5,204.214996,179.318176,212.320007,258.265015,994,124.349998,348.391998,104.199997,111.474998,375.912506,555.025024,162.393784,212.600006,33.299999,280.299988,79.75,679.75,263.126678,839.349976,46.200001,672.866638,397.651367,623.599976,67.412956,123.046936,46.849998,174.733337,301.649994,208.774994,141.541672,74.400017,637.549988,109.099998,113.157913,89.849998,478.58847,646.200012,154,578.168213,302.769318,35.21339,87.449997
2011-02-28,201.350006,1465.199951,307.875,1208.199951,214.251938,243.710007,205.225006,176.518188,212.399994,263.045013,969.349976,117.849998,349.360229,112.666664,110.612503,374.637512,555.125,164.325043,211.850006,33.849998,282,77.199997,666.650024,266.813324,847.349976,46.650002,679.088867,416.164093,629.200012,70.904465,119.967247,47.200001,180.233337,299.649994,211.75,141.541672,74.212517,609.799988,110.349998,110.991447,92.241669,477.597839,657.75,152.550003,578.454041,304.192505,34.700867,85.75
2011-03-01,212.449997,1491.849976,332.149994,1290.75,225.946503,257.76001,213.899994,186.581818,218.770004,270.535004,982.200012,121.75,355.3013,115.73333,117.1875,385.299988,562.25,166.293793,222,35,287.450012,83,684.450012,274.406677,850.25,49.650002,716.111084,420.321808,650.75,74.957542,125.14225,49.849998,182.666672,305.899994,223.100006,151.125,74.625015,618.849976,113.400002,111.092773,97.391663,489.782349,671.549988,158.600006,604.463745,309.97702,35.967102,90.349998
2011-03-03,210,1506.400024,335.924988,1322.25,232.802948,261.959991,219.315002,185.372726,217.720001,268.25,990.150024,123.150002,353.767609,115.699997,115.112503,378.262512,575.099976,166.612534,223.149994,35.099998,290.799988,85.949997,688.549988,283.526672,856.450012,48.400002,739.888916,422.466309,672.099976,72.296181,128.039124,49.450001,179.899994,305.799988,215.199997,148.375,74.475021,598.799988,113.599998,114.991447,95.133331,484.111115,668.799988,157.5,594.888733,303.136597,35.303837,93.349998
2011-03-04,210.050003,1536.800049,338.075012,1312.050049,232.654541,265.660004,221.824997,184.790909,216.279999,270.464996,987.25,123.199997,356.339233,114.933334,115.712502,382.774994,567.775024,165.52504,222.5,36.5,287.899994,84.050003,729.75,278.053345,854.25,47.549999,715.911133,423.735504,681.5,72.247353,128.053192,49.200001,179.233337,304.149994,216.175003,149.291672,74.250015,606.75,121.150002,118.127747,96.666664,486.488586,678.349976,155,588.981812,300.198425,36.359032,93.25
2011-03-07,210,1532.800049,330.875,1260.849976,223.195999,256.679993,217.315002,183.663635,213.320007,262.415009,980.150024,123.050003,356.408936,115.099998,112.974998,380.337494,554.125,167.718796,218.5,35.450001,281.350006,82.300003,714.650024,269.779999,856.400024,46.5,697.799988,416.908112,667,69.805733,124.83287,47.799999,175.899994,305.299988,208.300003,150.458328,73.537521,595.049988,122.900002,119.285774,92.766663,483.937744,664.299988,151.25,574.262024,297.902985,36.087696,89.900002
2011-03-08,211.949997,1515.050049,332.350006,1256.150024,229.963409,262.299988,220.649994,185.563629,217.119995,264.225006,988.299988,124.449997,355.293549,114.633331,116,389.537506,558.849976,168.375046,222.600006,36.200001,281.75,84.199997,713.049988,271.08667,857.400024,47.799999,695.622192,424.567017,675.150024,70.196396,124.031311,48.349998,181.5,307.399994,212,150.125,73.462517,606.599976,122.349998,118.803261,93.633331,487.850677,670.849976,151.449997,586.885742,307.452026,37.323784,90.650002
2011-03-09,213,1537.699951,334.549988,1266,230.190964,260.190002,220.604996,188.227264,215.229996,262.734985,1004.450012,128.199997,358.236969,114.5,116.125,386.9375,563.349976,169.106293,225.449997,37.549999,279.700012,85.349998,726.200012,272.299988,857.099976,47.599998,697.977783,440.541351,672.700012,70.782379,124.073502,48.599998,180.866669,301.5,207.774994,148.125,73.537521,620.150024,124.599998,118.86599,91.916664,492.258881,665.900024,155.300003,583.979919,305.294312,37.293633,99.349998
2011-03-10,209.300003,1536.300049,334.924988,1271.400024,230.527359,257.01001,220.839996,184.463638,214.399994,258.975006,1000.450012,129.75,359.747406,114.199997,114.237503,386.28125,554.275024,170.550049,229.199997,38.099998,276.649994,84.400002,742,273.600006,857.25,48.549999,690.755554,462.248932,666.799988,71.173042,124.27037,48.650002,184.03334,299.899994,208.649994,146.5,73.800018,626.099976,125,115.89856,90.558334,487.751587,660.5,157.550003,568.355042,302.539764,37.323784,99.849998
2011-03-11,205.75,1530.150024,328.149994,1250.849976,230.05246,253.139999,218.634995,183.072723,214.309998,256.515015,992.5,125.75,364.379395,114.23333,113.724998,381.737488,538.525024,168.487549,225.199997,37.700001,277.350006,81.949997,734.349976,262.573334,857.299988,47.599998,685.155579,448.287811,660.400024,70.684715,124.425064,47.25,187.833328,295.25,210.274994,145.541672,73.537521,604.650024,123.150002,116.168762,90.974998,491.36734,649.849976,155.449997,553.825806,296.158447,36.570072,96.300003
2011-03-14,209.100006,1531.099976,330.725006,1257,232.664444,258.070007,221.475006,185.290909,216.199997,260.204987,1009.950012,127.5,368.771271,115.633331,116.150002,387.600006,548.775024,171.093796,228.25,38.150002,278.100006,84.199997,745.799988,263.433319,857.950012,46.450001,694.288879,491.878052,671.450012,71.173042,130.120377,47.75,187.133331,300.100006,212.774994,148.291672,74.100021,625.599976,127.300003,120.689873,95.074997,504.39386,664.150024,159.800003,572.690002,295.423889,36.750961,100.449997
2011-03-15,204.199997,1524,322.200012,1214.150024,225.995972,256.589996,218.464996,181.199997,215.639999,256.25,1006.200012,125.25,368.93396,113.400002,113.875,378.768738,544.900024,165.90004,221.199997,36.900002,274.75,80.949997,739.599976,255.639999,864.299988,46.150002,677.333313,496.29834,663.099976,70.660301,128.742249,46.299999,180.766663,297.649994,213.824997,145.75,73.312515,613.799988,122.199997,116.853928,95.116669,513.755127,661.599976,155.100006,565.258667,288.44574,36.147991,101
2011-03-16,203.149994,1516.400024,330,1219.25,230.824173,263.720001,218.375,186.809097,219.350006,264.394989,1022.099976,130,377.407898,114.133331,116.050003,378.862488,557.424988,167.02504,226.449997,38.349998,271.350006,82.099998,741.200012,256.459991,871.450012,46.25,685.666687,503.738434,659.849976,71.441612,128.460999,47.450001,181.199997,296,220.050003,147.958328,73.95002,645.650024,125.199997,118.393127,96.091667,518.63385,664.650024,157.100006,571.213257,294.230255,36.238438,103
2011-03-17,197.699997,1510.150024,328.100006,1165.099976,225.570526,258.220001,218.149994,183.972733,219.570007,261.75,1025.400024,131.75,377.686737,112.033333,114.462502,372.337494,549,166.293793,221.449997,37.900002,270.700012,82.650002,735.849976,261.866669,871.75,45.799999,676.955566,510.565826,637,70.757965,127.223503,47.650002,181.566666,298.149994,217.649994,146.291672,73.76252,653.099976,125.099998,118.518585,95.658333,510.585175,652.849976,158.699997,564.687012,291.842987,37.233337,106.599998
